URL,Version,Status,OIDs,Name,Title,Description,Used
http://smart.who.int/pcmt-vaxprequal/CodeSystem/PreQualDatabaseMetadata,0.2.0,active,,PreQualDatabaseMetadata,WHO PreQualification Database Metadata,"Coded metadata values from the WHO PreQualification database",
http://smart.who.int/pcmt-vaxprequal/CodeSystem/PreQualPresentation,0.2.0,draft,,PreQualPresentation,WHO PreQualificaiton Vaccine Presentations,"WHO PreQualificaiton Vaccine Presentations",
http://smart.who.int/pcmt-vaxprequal/CodeSystem/PreQualProductIds,0.2.0,active,,PreQualProductIds,WHO PreQualificaiton Vaccine Product Ids,"WHO PreQualificaiton Vaccine Product Ids",
http://smart.who.int/pcmt-vaxprequal/CodeSystem/PreQualVaccineType,0.2.0,draft,,PreQualVaccineType,WHO PreQualificaiton Vaccine VaccineTypes,"WHO PreQualificaiton Vaccine VaccineTypes",
