"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"PreQualDBAPI.routeOfAdministration","PreQualDBAPI.routeOfAdministration","","","",0,1,"","","","code {[]} {[]}
","Route of administration code from PreQualDatabaseMetadata","Route of administration code from PreQualDatabaseMetadata","","","","","","","","","",,,,,"",,,,"PreQualDBAPI.routeOfAdministration",0,1,"",""
"PreQualDBAPI.applicantId","PreQualDBAPI.applicantId","","","",0,1,"","","","Identifier {[]} {[]}
","Applicant/manufacturer organization ID (may be absent if not yet assigned)","Applicant/manufacturer organization ID (may be absent if not yet assigned)","","","","","","","","","",,,,,"",,,,"PreQualDBAPI.applicantId",0,1,"",""
"PreQualDBAPI.applicantName","PreQualDBAPI.applicantName","","","",1,1,"","","","string {[]} {[]}
","Applicant/manufacturer organization name (always present from API data)","Applicant/manufacturer organization name (always present from API data)","","","","","","","","","",,,,,"",,,,"PreQualDBAPI.applicantName",1,1,"",""
"PreQualDBAPI.applicantAddress","PreQualDBAPI.applicantAddress","","","",0,1,"","","","Address {[]} {[]}
","Applicant organization address","Applicant organization address","","","","","","","","","",,,,,"",,,,"PreQualDBAPI.applicantAddress",0,1,"",""
"PreQualDBAPI.nraId","PreQualDBAPI.nraId","","","",0,1,"","","","Identifier {[]} {[]}
","NRA organization ID (may be absent if not yet assigned)","NRA organization ID (may be absent if not yet assigned)","","","","","","","","","",,,,,"",,,,"PreQualDBAPI.nraId",0,1,"",""
"PreQualDBAPI.nraName","PreQualDBAPI.nraName","","","",1,1,"","","","string {[]} {[]}
","Responsible NRA name (always present from API data)","Responsible NRA name (always present from API data)","","","","","","","","","",,,,,"",,,,"PreQualDBAPI.nraName",1,1,"",""
"PreQualDBAPI.nraCountry","PreQualDBAPI.nraCountry","","","",0,1,"","","","string {[]} {[]}
","NRA country","NRA country","","","","","","","","","",,,,,"",,,,"PreQualDBAPI.nraCountry",0,1,"",""
"PreQualDBAPI.shelfLife","PreQualDBAPI.shelfLife","","","",0,1,"","","","string {[]} {[]}
","Shelf life (e.g. 24 months)","Shelf life (e.g. 24 months)","","","","","","","","","",,,,,"",,,,"PreQualDBAPI.shelfLife",0,1,"",""
"PreQualDBAPI.storageTemperature","PreQualDBAPI.storageTemperature","","","",0,1,"","","","string {[]} {[]}
","Storage temperature (e.g. 2 - 8°C)","Storage temperature (e.g. 2 - 8°C)","","","","","","","","","",,,,,"",,,,"PreQualDBAPI.storageTemperature",0,1,"",""
"PreQualDBAPI.diluent","PreQualDBAPI.diluent","","","",0,1,"","","","string {[]} {[]}
","Diluent information","Diluent information","","","","","","","","","",,,,,"",,,,"PreQualDBAPI.diluent",0,1,"",""
"PreQualDBAPI.lastPublishingDate","PreQualDBAPI.lastPublishingDate","","","",0,1,"","","","dateTime {[]} {[]}
","Last publishing date","Last publishing date","","","","","","","","","",,,,,"",,,,"PreQualDBAPI.lastPublishingDate",0,1,"",""
"PreQualDBAPI.publishingRemarks","PreQualDBAPI.publishingRemarks","","","",0,1,"","","","string {[]} {[]}
","Publishing remarks","Publishing remarks","","","","","","","","","",,,,,"",,,,"PreQualDBAPI.publishingRemarks",0,1,"",""
"PreQualDBAPI.preservative","PreQualDBAPI.preservative","","","",0,1,"","","","string {[]} {[]}
","Preservative name (e.g. Thiomersal)","Preservative name (e.g. Thiomersal)","","","","","","","","","",,,,,"",,,,"PreQualDBAPI.preservative",0,1,"",""
"PreQualDBAPI.preservativeConcentration","PreQualDBAPI.preservativeConcentration","","","",0,1,"","","","string {[]} {[]}
","Preservative concentration (e.g. 0.01%)","Preservative concentration (e.g. 0.01%)","","","","","","","","","",,,,,"",,,,"PreQualDBAPI.preservativeConcentration",0,1,"",""
