"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"PreQualProduct.nraName","PreQualProduct.nraName","","","",1,1,"","","","string {[]} {[]}
","Responsible NRA name (always present from API data)","Responsible NRA name (always present from API data)","","","","","","","","","",,,,,"",,,,"PreQualDBAPI.nraName",1,1,"",""
"PreQualProduct.nraCountry","PreQualProduct.nraCountry","","","",0,1,"","","","string {[]} {[]}
","NRA country","NRA country","","","","","","","","","",,,,,"",,,,"PreQualDBAPI.nraCountry",0,1,"",""
"PreQualProduct.shelfLife","PreQualProduct.shelfLife","","","",0,1,"","","","string {[]} {[]}
","Shelf life (e.g. 24 months)","Shelf life (e.g. 24 months)","","","","","","","","","",,,,,"",,,,"PreQualDBAPI.shelfLife",0,1,"",""
"PreQualProduct.storageTemperature","PreQualProduct.storageTemperature","","","",0,1,"","","","string {[]} {[]}
","Storage temperature (e.g. 2 - 8°C)","Storage temperature (e.g. 2 - 8°C)","","","","","","","","","",,,,,"",,,,"PreQualDBAPI.storageTemperature",0,1,"",""
"PreQualProduct.diluent","PreQualProduct.diluent","","","",0,1,"","","","string {[]} {[]}
","Diluent information","Diluent information","","","","","","","","","",,,,,"",,,,"PreQualDBAPI.diluent",0,1,"",""
"PreQualProduct.lastPublishingDate","PreQualProduct.lastPublishingDate","","","",0,1,"","","","dateTime {[]} {[]}
","Last publishing date","Last publishing date","","","","","","","","","",,,,,"",,,,"PreQualDBAPI.lastPublishingDate",0,1,"",""
"PreQualProduct.publishingRemarks","PreQualProduct.publishingRemarks","","","",0,1,"","","","string {[]} {[]}
","Publishing remarks","Publishing remarks","","","","","","","","","",,,,,"",,,,"PreQualDBAPI.publishingRemarks",0,1,"",""
"PreQualProduct.preservative","PreQualProduct.preservative","","","",0,1,"","","","string {[]} {[]}
","Preservative name (e.g. Thiomersal)","Preservative name (e.g. Thiomersal)","","","","","","","","","",,,,,"",,,,"PreQualDBAPI.preservative",0,1,"",""
"PreQualProduct.preservativeConcentration","PreQualProduct.preservativeConcentration","","","",0,1,"","","","string {[]} {[]}
","Preservative concentration (e.g. 0.01%)","Preservative concentration (e.g. 0.01%)","","","","","","","","","",,,,,"",,,,"PreQualDBAPI.preservativeConcentration",0,1,"",""
"PreQualProduct.manufacturerReference","PreQualProduct.manufacturerReference","","","",1,1,"","","","Reference {[]} {[CanonicalType[https://profiles.ihe.net/ITI/mCSD/StructureDefinition/IHE.mCSD.Organization]]}
","Manufacturer FHIR Organization reference","Manufacturer FHIR Organization reference","","","","","","","","","",,,,,"",,,,"PreQualProduct.manufacturerReference",1,1,"",""
