"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"PreQualDBAPI","PreQualDBAPI.dateOfPrequal","PreQualDBAPI.dateOfPrequal","","","",1,1,"","","","dateTime {[]} {[]}
","Date of prequalification acceptance","Date of prequalification acceptance","","","","","","","","","",,,,,"",,,,"PreQualDBAPI.dateOfPrequal",1,1,"",""
"PreQualDBAPI","PreQualDBAPI.assessmentProcedure","PreQualDBAPI.assessmentProcedure","","","",0,1,"","","","code {[]} {[]}
","Assessment procedure code from PreQualDatabaseMetadata (e.g. PrequalificationStandard)","Assessment procedure code from PreQualDatabaseMetadata (e.g. PrequalificationStandard)","","","","","","","","","",,,,,"",,,,"PreQualDBAPI.assessmentProcedure",0,1,"",""
"PreQualDBAPI","PreQualDBAPI.status","PreQualDBAPI.status","","","",1,1,"","","","code {[]} {[]}
","Product status code from PreQualDatabaseMetadata (e.g. Prequalified)","Product status code from PreQualDatabaseMetadata (e.g. Prequalified)","","","","","","","","","",,,,,"",,,,"PreQualDBAPI.status",1,1,"",""
"PreQualDBAPI","PreQualDBAPI.pharmaceuticalForm","PreQualDBAPI.pharmaceuticalForm","","","",0,1,"","","","code {[]} {[]}
","Pharmaceutical form code from PreQualDatabaseMetadata","Pharmaceutical form code from PreQualDatabaseMetadata","","","","","","","","","",,,,,"",,,,"PreQualDBAPI.pharmaceuticalForm",0,1,"",""
"PreQualDBAPI","PreQualDBAPI.presentation","PreQualDBAPI.presentation","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Presentation (e.g. Vial, Ampoule)","Presentation (e.g. Vial, Ampoule)","","","","","","","","","",,,,,"",,,,"PreQualDBAPI.presentation",1,1,"",""
"PreQualDBAPI","PreQualDBAPI.numDoses","PreQualDBAPI.numDoses","","","",0,1,"","","","decimal {[]} {[]}
","Number of doses per primary container","Number of doses per primary container","","","","","","","","","",,,,,"",,,,"PreQualDBAPI.numDoses",0,1,"",""
"PreQualDBAPI","PreQualDBAPI.vaccineFullName","PreQualDBAPI.vaccineFullName","","","",0,1,"","","","string {[]} {[]}
","Vaccine full name","Vaccine full name","","","","","","","","","",,,,,"",,,,"PreQualDBAPI.vaccineFullName",0,1,"",""
"PreQualDBAPI","PreQualDBAPI.vaccineAbbreviatedName","PreQualDBAPI.vaccineAbbreviatedName","","","",0,1,"","","","string {[]} {[]}
","Vaccine abbreviated name","Vaccine abbreviated name","","","","","","","","","",,,,,"",,,,"PreQualDBAPI.vaccineAbbreviatedName",0,1,"",""
"PreQualDBAPI","PreQualDBAPI.vaccineCommercialName","PreQualDBAPI.vaccineCommercialName","","","",1,1,"","","","string {[]} {[]}
","Vaccine commercial name","Vaccine commercial name","","","","","","","","","",,,,,"",,,,"PreQualDBAPI.vaccineCommercialName",1,1,"",""
"PreQualDBAPI","PreQualDBAPI.vaccineTypeId","PreQualDBAPI.vaccineTypeId","","","",0,1,"","","","Identifier {[]} {[]}
","Vaccine type ID","Vaccine type ID","","","","","","","","","",,,,,"",,,,"PreQualDBAPI.vaccineTypeId",0,1,"",""
