"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"PreQualSiteDetail","PreQualSiteDetail","","","",0,*,"","","","null {[]} {[]}
","WHO PreQual Site Detail","Logical model for manufacturing site details
from the WHO PreQual API (SiteDetails).","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"PreQualSiteDetail.siteOrganizationId","PreQualSiteDetail.siteOrganizationId","","","",0,1,"","","","Identifier {[]} {[]}
","Site organization ID","Site organization ID","","","","","","","","","",,,,,"",,,,"PreQualSiteDetail.siteOrganizationId",0,1,"",""
"PreQualSiteDetail.siteOrganizationName","PreQualSiteDetail.siteOrganizationName","","","",0,1,"","","","string {[]} {[]}
","Site organization name","Site organization name","","","","","","","","","",,,,,"",,,,"PreQualSiteDetail.siteOrganizationName",0,1,"",""
"PreQualSiteDetail.addressLine1","PreQualSiteDetail.addressLine1","","","",0,1,"","","","string {[]} {[]}
","Address line 1","Address line 1","","","","","","","","","",,,,,"",,,,"PreQualSiteDetail.addressLine1",0,1,"",""
"PreQualSiteDetail.city","PreQualSiteDetail.city","","","",0,1,"","","","string {[]} {[]}
","City","City","","","","","","","","","",,,,,"",,,,"PreQualSiteDetail.city",0,1,"",""
"PreQualSiteDetail.state","PreQualSiteDetail.state","","","",0,1,"","","","string {[]} {[]}
","State/Province","State/Province","","","","","","","","","",,,,,"",,,,"PreQualSiteDetail.state",0,1,"",""
"PreQualSiteDetail.country","PreQualSiteDetail.country","","","",0,1,"","","","string {[]} {[]}
","Country","Country","","","","","","","","","",,,,,"",,,,"PreQualSiteDetail.country",0,1,"",""
"PreQualSiteDetail.postalCode","PreQualSiteDetail.postalCode","","","",0,1,"","","","string {[]} {[]}
","Postal code","Postal code","","","","","","","","","",,,,,"",,,,"PreQualSiteDetail.postalCode",0,1,"",""
"PreQualSiteDetail.siteStatus","PreQualSiteDetail.siteStatus","","","",0,1,"","","","code {[]} {[]}
","Site status code from PreQualDatabaseMetadata (e.g. Accepted)","Site status code from PreQualDatabaseMetadata (e.g. Accepted)","","","","","","","","","",,,,,"",,,,"PreQualSiteDetail.siteStatus",0,1,"",""
"PreQualSiteDetail.siteActivity","PreQualSiteDetail.siteActivity","","","",0,1,"","","","code {[]} {[]}
","Site activity code from PreQualDatabaseMetadata (e.g. FVPManufacture)","Site activity code from PreQualDatabaseMetadata (e.g. FVPManufacture)","","","","","","","","","",,,,,"",,,,"PreQualSiteDetail.siteActivity",0,1,"",""
