"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"PreQualProductIngredient","PreQualProductIngredient","","","",0,*,"","","","null {[]} {[]}
","WHO PreQual Product Ingredient","Logical model for product ingredient details
from the WHO PreQual API (ProductIngredients).","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"PreQualProductIngredient.ingredientId","PreQualProductIngredient.ingredientId","","","",0,1,"","","","Identifier {[]} {[]}
","Ingredient ID","Ingredient ID","","","","","","","","","",,,,,"",,,,"PreQualProductIngredient.ingredientId",0,1,"",""
"PreQualProductIngredient.ingredientType","PreQualProductIngredient.ingredientType","","","",0,1,"","","","code {[]} {[]}
","Ingredient type code from PreQualDatabaseMetadata (e.g. VxFVP)","Ingredient type code from PreQualDatabaseMetadata (e.g. VxFVP)","","","","","","","","","",,,,,"",,,,"PreQualProductIngredient.ingredientType",0,1,"",""
"PreQualProductIngredient.unit","PreQualProductIngredient.unit","","","",0,1,"","","","string {[]} {[]}
","Measurement unit","Measurement unit","","","","","","","","","",,,,,"",,,,"PreQualProductIngredient.unit",0,1,"",""
"PreQualProductIngredient.product","PreQualProductIngredient.product","","","",0,1,"","","","string {[]} {[]}
","Product reference ID","Product reference ID","","","","","","","","","",,,,,"",,,,"PreQualProductIngredient.product",0,1,"",""
"PreQualProductIngredient.productComponentType","PreQualProductIngredient.productComponentType","","","",0,1,"","","","code {[]} {[]}
","Product component type code from PreQualDatabaseMetadata (e.g. Diluent)","Product component type code from PreQualDatabaseMetadata (e.g. Diluent)","","","","","","","","","",,,,,"",,,,"PreQualProductIngredient.productComponentType",0,1,"",""
"PreQualProductIngredient.function","PreQualProductIngredient.function","","","",0,1,"","","","string {[]} {[]}
","Ingredient function","Ingredient function","","","","","","","","","",,,,,"",,,,"PreQualProductIngredient.function",0,1,"",""
